Ciclo,Data,#,Tipo,Consulta,Superficie,Citou o site? (sim/nao),Acertou os fatos? (sim/nao/parcial),Quem citou no lugar,Observacao
0,2026-09-03,1,marca sozinha,Aulas de Matemática BH,ChatGPT,nao,n/a — nao citou,Eduardo Borges Matematica; Alex Fabiani Matematica; Alfredo Matematica; Wagner Chebile; Ana Clara Barcelos; Bruna M./EDUCAMENT; Curso de Exatas; Cursinho BH Dois Pontos; Superprof,"Leu 'BH' como geografia presencial e devolveu fichas locais por bairro (Savassi, Centro, Buritis, Floresta). Citou preco de plataforma R$40-50/h. Perguntou se era ensino medio/ENEM ou faculdade."
0,2026-09-03,1,marca sozinha,Aulas de Matemática BH,Gemini,nao,n/a — nao citou,Wagner Chebile; Reforco Escolar Cida Lage; Bruna M./EDUCAMENT; Lucas Groenner; Aprender em Casa; Semear para Crescer; KOGNO Cidade Jardim,"So centros e professores presenciais de BH, todos identificados por bairro. Nenhuma mencao a aula online. Nenhum preco."
0,2026-09-03,1,marca sozinha,Aulas de Matemática BH,Perplexity,nao,n/a — nao citou,Superprof; Mestres da Matematica; Professor Bruno,"Resposta mais curta e mais dependente de marketplace. Preco medio Superprof R$46-49/h, com primeira aula gratuita. Sugeriu filtrar por bairro."
0,2026-09-03,1,marca sozinha,Aulas de Matemática BH,Resumo de IA do Google,nao,n/a — nao citou,Eduardo Borges Matematica; Educament/Bruna M.; Aprender em Casa; Token Metodo; Vanessa Marcal (formada pela UFMG); Superprof; Preply,"A resposta mais rica: fichas do Google Business Profile com endereco, nota e numero de avaliacoes, mais tabela de precos. Vanessa Marcal aparece com o MESMO diferencial (UFMG). No Superprof, anuncio de 'estudante de matematica na UFMG, 4o periodo, R$35/h'."
0,,2,marca + preço,quanto custa aula com a professora Taciane Andrade de matemática,ChatGPT,,,,
0,,2,marca + preço,quanto custa aula com a professora Taciane Andrade de matemática,Gemini,,,,
0,,2,marca + preço,quanto custa aula com a professora Taciane Andrade de matemática,Perplexity,,,,
0,,2,marca + preço,quanto custa aula com a professora Taciane Andrade de matemática,Resumo de IA do Google,,,,
0,2026-09-03,3,categoria,professor particular de matemática online,ChatGPT,nao,n/a — nao citou,"Superprof (plataforma); perfis Superprof de nivel superior: Felipe, Cesar Augusto, Leticia, Matheus, Samuel, Marcos, Daniel; Debora Sodre; Wagner Chebile","LINHA CONTAMINADA — sessao logada. O ChatGPT usou o perfil de quem perguntou ('pensando no seu caso de Licenciatura em Matematica/UFMG') e respondeu como se a pessoa procurasse professor para a PROPRIA graduacao. Virou uma consulta de nivel superior, nao a consulta de categoria. Nao comparar com os proximos ciclos. Refazer em aba anonima."
0,2026-09-03,3,categoria,professor particular de matemática online,Gemini,nao,n/a — nao citou,Superprof; Preply; Professores de Plantao/Profes; GetNinjas,"So plataformas, nenhum profissional nomeado, nenhum site individual. Precos por nivel: fundamental R$40-70/h, medio-ENEM R$50-90/h, superior R$80-150+/h. Descreveu a metodologia online (mesa digitalizadora, PDF ao final) — mesma que a pagina /aulas-de-matematica-online descreve."
0,2026-09-03,3,categoria,professor particular de matemática online,Perplexity,nao,n/a — nao citou,Superprof; Preply; Suasaulasparticulares; GetNinjas,"Resposta curta, 100% plataformas. R$49-60 por aula. Nenhum profissional nomeado."
0,2026-09-03,3,categoria,professor particular de matemática online,Resumo de IA do Google,nao,n/a — nao citou,Superprof; Preply; SuasAulasParticulares; OLX; Instagram @profraimundoalmeida; Aulas Particulares Bruno; Jooble (vagas),"Superprof a partir de R$25/h online, 125.730 professores. Fontes citadas: plataformas, OLX, Instagram e ate site de vagas — nenhum site institucional de professor. Vaga no Jooble em BH paga R$33-50/h."
0,,4,lista,melhores professores particulares de matemática online no Brasil,ChatGPT,,,,
0,,4,lista,melhores professores particulares de matemática online no Brasil,Gemini,,,,
0,,4,lista,melhores professores particulares de matemática online no Brasil,Perplexity,,,,
0,,4,lista,melhores professores particulares de matemática online no Brasil,Resumo de IA do Google,,,,
0,,5,problema do cliente,"meu filho está indo mal em matemática no 9º ano, o que fazer",ChatGPT,,,,
0,,5,problema do cliente,"meu filho está indo mal em matemática no 9º ano, o que fazer",Gemini,,,,
0,,5,problema do cliente,"meu filho está indo mal em matemática no 9º ano, o que fazer",Perplexity,,,,
0,,5,problema do cliente,"meu filho está indo mal em matemática no 9º ano, o que fazer",Resumo de IA do Google,,,,
